[18:28:30.4974] cted! Chip ID: 0xA0
[18:28:30.4996] BNO055 initialized successfully!
[18:28:30.5010] roll,pitch,yaw,qw,qx,qy,qz,accx,accy,accz,gyrox,gyroy,gyroz,svm,state,z_v,lever_offx,lever_offy
[18:28:32.5924] -22.62,0.31,359.62,0.9805,-0.0035,0.1964,0.0032,-3.73,0.15,8.99,1.19,-0.06,0.69,9.73,0,1.70,0.0770,0.0016
[18:28:32.6534] -22.69,0.25,359.56,0.9804,-0.0029,0.1970,0.0033,-3.91,-0.07,9.02,1.12,2.00,-0.25,9.83,0,1.70,0.0772,0.0014
[18:28:32.7214] -22.69,0.12,359.56,0.9804,-0.0021,0.1968,0.0032,-3.67,0.17,8.87,-0.75,-1.50,-0.94,9.60,0,1.70,0.0772,0.0011
[18:28:32.7886] -22.56,0.31,359.69,0.9807,-0.0031,0.1956,0.0024,-3.70,0.00,9.00,-1.00,-3.56,-1.06,9.73,0,1.70,0.0767,0.0014
[18:28:32.8545] -22.38,0.31,359.69,0.9809,-0.0032,0.1945,0.0023,-3.77,0.07,8.98,0.69,0.44,-0.56,9.74,0,1.70,0.0763,0.0014
[18:28:32.9225] -22.38,0.31,359.69,0.9809,-0.0032,0.1945,0.0026,-3.53,-0.06,8.99,0.31,1.06,1.19,9.66,0,1.70,0.0763,0.0014
[18:28:32.9885] -22.69,0.19,359.56,0.9804,-0.0023,0.1968,0.0034,-4.04,0.12,8.95,0.00,5.44,1.50,9.82,0,1.70,0.0772,0.0012
[18:28:33.0554] -22.81,0.25,359.50,0.9802,-0.0031,0.1980,0.0038,-3.77,0.19,8.95,-0.06,2.94,-0.44,9.71,0,1.70,0.0776,0.0015
[18:28:33.1236] -23.00,0.31,359.44,0.9799,-0.0038,0.1995,0.0045,-4.17,-0.05,9.12,-1.75,0.56,1.69,10.03,0,1.70,0.0782,0.0018
[18:28:33.1904] -22.62,0.56,359.44,0.9805,-0.0058,0.1965,0.0045,-3.66,-0.15,9.07,-6.19,-9.44,-2.00,9.78,0,1.70,0.0770,0.0026
[18:28:33.2594] -22.19,0.81,359.44,0.9812,-0.0076,0.1929,0.0044,-3.28,-0.21,8.95,-0.12,-0.88,-0.25,9.53,0,1.70,0.0757,0.0033
[18:28:33.3264] -22.38,0.62,359.50,0.9810,-0.0064,0.1942,0.0039,-3.73,0.20,8.72,-1.00,-1.75,-1.19,9.49,0,1.70,0.0762,0.0028
[18:28:33.3935] -22.06,1.06,359.56,0.9816,-0.0105,0.1908,0.0031,-3.83,-0.13,9.17,-7.44,-8.00,-3.75,9.94,0,1.70,0.0749,0.0044
[18:28:33.4624] -21.38,1.75,359.69,0.9825,-0.0154,0.1857,0.0025,-3.52,-0.18,8.96,-12.88,-11.94,-3.19,9.63,0,1.70,0.0730,0.0062
[18:28:33.5314] -20.75,2.38,359.44,0.9833,-0.0210,0.1805,0.0046,-3.42,-0.61,9.33,-6.00,-8.00,1.81,9.96,0,1.70,0.0710,0.0086
[18:28:33.5984] -20.38,2.69,359.50,0.9839,-0.0231,0.1769,0.0038,-3.49,-0.31,9.24,-1.69,-5.56,-2.44,9.88,0,1.70,0.0696,0.0094
[18:28:33.6669] -20.25,2.81,359.25,0.9841,-0.0247,0.1757,0.0062,-3.32,-0.56,9.13,1.62,-0.56,1.88,9.73,0,1.70,0.0691,0.0102
[18:28:33.7363] -20.19,2.69,359.31,0.9844,-0.0242,0.1745,0.0054,-3.77,-0.08,9.32,-4.25,-6.69,-3.44,10.05,0,1.70,0.0687,0.0099
[18:28:33.8034] -19.56,3.31,359.50,0.9850,-0.0288,0.1703,0.0039,-2.92,-0.88,9.29,-5.44,-4.44,-4.69,9.78,0,1.70,0.0671,0.0116
[18:28:33.8716] -19.81,2.94,359.62,0.9847,-0.0253,0.1725,0.0027,-3.71,-0.07,9.16,4.44,4.25,0.38,9.88,0,1.70,0.0679,0.0102
[18:28:33.9394] -19.75,3.12,359.81,0.9847,-0.0267,0.1721,0.0012,-3.40,-0.56,9.07,-3.31,-0.12,-4.62,9.70,0,1.70,0.0678,0.0106
[18:28:34.0167] -19.38,3.56,0.00,0.9854,-0.0306,0.1677,-0.0004,-3.02,-0.37,8.88,-6.62,-12.19,-3.69,9.39,0,1.70,0.0661,0.0121
[18:28:34.0768] -19.00,3.88,359.94,0.9857,-0.0328,0.1652,0.0001,-3.66,-0.49,9.83,1.69,-4.31,4.38,10.50,0,1.70,0.0651,0.0130
[18:28:34.1434] -17.81,4.06,359.62,0.9873,-0.0347,0.1549,0.0028,-3.80,-0.54,9.25,-11.50,-24.94,-0.25,10.01,0,1.70,0.0611,0.0139
[18:28:34.2105] -15.38,4.00,359.94,0.9904,-0.0342,0.1340,0.0005,-3.89,-0.38,10.21,2.56,-42.06,-3.62,10.93,0,1.70,0.0531,0.0136
[18:28:34.2795] -13.38,4.62,359.56,0.9923,-0.0418,0.1165,0.0043,0.08,-0.78,8.12,-16.38,-2.88,3.81,8.16,0,1.70,0.0462,0.0168
[18:28:34.3465] -13.06,4.75,359.31,0.9926,-0.0416,0.1137,0.0056,-1.88,-1.13,9.29,9.44,-14.94,11.00,9.55,0,1.70,0.0451,0.0168
[18:28:34.4145] -14.19,3.25,359.06,0.9919,-0.0288,0.1237,0.0078,-3.37,-0.68,9.26,12.00,43.50,-5.56,9.88,0,1.70,0.0490,0.0118
[18:28:34.4817] -15.31,2.62,359.56,0.9908,-0.0231,0.1335,0.0037,-0.87,-0.01,8.71,12.44,-4.31,-5.69,8.75,0,1.70,0.0529,0.0093
[18:28:34.5494] -16.75,1.75,0.06,0.9887,-0.0133,0.1492,-0.0013,-3.23,-0.38,9.72,20.44,43.19,-4.25,10.25,0,1.70,0.0590,0.0052
[18:28:34.6194] -18.25,0.62,0.62,0.9873,-0.0045,0.1586,-0.0059,-2.33,0.55,8.60,18.81,10.44,-6.44,8.93,0,1.70,0.0627,0.0014
[18:28:34.6895] -19.62,0.19,1.31,0.9852,0.0001,0.1708,-0.0117,-4.92,0.80,8.95,1.44,25.88,-11.88,10.24,0,1.70,0.0673,-0.0008
[18:28:34.7556] -19.94,1.38,1.69,0.9847,-0.0090,0.1734,-0.0148,-2.58,-0.37,8.84,-9.44,-5.19,-4.06,9.22,0,1.70,0.0684,0.0025
[18:28:34.8235] -20.56,2.19,1.38,0.9836,-0.0161,0.1790,-0.0120,-4.42,-1.35,10.19,-10.94,17.81,11.00,11.19,0,1.70,0.0705,0.0055
[18:28:34.8925] -20.62,2.31,1.06,0.9836,-0.0193,0.1787,-0.0095,-3.41,-0.16,8.51,-18.44,-12.38,-3.88,9.17,0,1.70,0.0704,0.0069
[18:28:34.9594] -20.06,3.38,1.31,0.9842,-0.0266,0.1746,-0.0117,-4.23,-0.23,9.56,-12.88,-10.44,-5.44,10.46,0,1.70,0.0689,0.0096
[18:28:35.0274] -18.75,4.25,1.19,0.9858,-0.0340,0.1638,-0.0104,-2.38,-0.78,8.73,-2.94,-12.50,2.19,9.08,0,1.70,0.0647,0.0127
[18:28:35.0944] -18.38,4.25,1.19,0.9865,-0.0346,0.1598,-0.0104,-2.66,-0.53,9.25,-4.44,-9.31,-0.31,9.64,0,1.70,0.0632,0.0130
[18:28:35.1614] -18.19,4.19,1.06,0.9867,-0.0336,0.1589,-0.0094,-2.86,-0.60,9.33,3.38,5.62,2.88,9.78,0,1.70,0.0628,0.0127
[18:28:35.2306] -18.88,3.69,0.62,0.9859,-0.0301,0.1644,-0.0055,-2.80,-0.51,8.83,8.19,13.12,12.19,9.28,0,1.70,0.0649,0.0115
[18:28:35.2964] -19.88,3.25,0.12,0.9846,-0.0273,0.1730,-0.0011,-3.65,-0.30,9.20,-1.44,7.94,8.38,9.90,0,1.70,0.0681,0.0107
[18:28:35.3634] -20.31,3.25,359.69,0.9837,-0.0280,0.1776,0.0027,-3.60,-0.33,9.23,-3.06,9.12,4.69,9.91,0,1.70,0.0699,0.0112
[18:28:35.4325] -20.81,3.44,359.31,0.9831,-0.0298,0.1805,0.0058,-3.14,-0.71,8.97,-3.31,6.38,5.44,9.53,0,1.70,0.0709,0.0121
