[18:28:30.4974] cted! Chip ID: 0xA0 
[18:28:30.4996] BNO055 initialized successfully! 
[18:28:30.5010] roll,pitch,yaw,qw,qx,qy,qz,accx,accy,accz,gyrox,gyroy,gyroz,svm,state,z_v,lever_offx,lever_offy 
-4.00,-3.50,292.19,0.8293,0.0060,0.0464,0.5568,-0.76,0.61,9.70,-2.50,0.81,-0.75,9.75,0,1.70,0.0167,0.0083
-4.00,-3.44,292.25,0.8296,0.0058,0.0462,0.5564,-0.53,0.73,9.62,1.25,-0.38,-1.56,9.66,0,1.70,0.0166,0.0084
-3.94,-3.44,292.31,0.8298,0.0057,0.0457,0.5562,-0.81,0.47,9.74,-4.38,1.88,-2.25,9.78,0,1.70,0.0164,0.0083
-3.88,-3.50,292.31,0.8298,0.0063,0.0454,0.5562,-0.40,0.85,9.65,4.62,-2.44,2.12,9.70,0,1.70,0.0165,0.0080
-3.75,-3.56,292.19,0.8292,0.0069,0.0446,0.5571,-0.39,0.77,9.62,-3.81,0.25,2.94,9.66,0,1.70,0.0163,0.0076
-3.81,-3.44,292.00,0.8284,0.0063,0.0447,0.5583,-0.72,0.75,9.52,0.62,2.75,2.25,9.58,0,1.70,0.0162,0.0079
-3.81,-3.50,292.06,0.8286,0.0067,0.0450,0.5580,-0.75,0.62,9.59,1.06,-3.06,-1.62,9.64,0,1.70,0.0164,0.0078
-3.75,-3.44,292.12,0.8291,0.0067,0.0446,0.5573,0.15,0.86,9.59,-0.56,1.31,-0.75,9.63,0,1.70,0.0163,0.0077
-4.12,-3.44,292.25,0.8295,0.0048,0.0471,0.5564,-1.11,0.67,9.79,1.00,4.81,-2.25,9.88,0,1.70,0.0167,0.0089
-4.19,-3.44,292.31,0.8297,0.0045,0.0475,0.5562,-0.41,0.52,9.53,-1.12,-0.56,0.81,9.55,0,1.70,0.0168,0.0091
-4.25,-3.44,292.38,0.8298,0.0049,0.0478,0.5560,-0.23,0.65,9.63,2.38,-0.50,3.50,9.65,0,1.70,0.0170,0.0090
-4.31,-3.56,292.31,0.8296,0.0051,0.0488,0.5562,-0.63,0.59,9.74,-1.75,2.31,-0.38,9.78,0,1.70,0.0173,0.0092
-4.44,-3.56,292.31,0.8297,0.0040,0.0499,0.5560,-0.94,0.57,9.63,-0.25,1.00,-1.25,9.69,0,1.70,0.0174,0.0098
-4.44,-3.56,292.31,0.8297,0.0045,0.0497,0.5560,-0.62,0.71,9.70,0.38,-1.31,0.56,9.75,0,1.70,0.0175,0.0096
-4.31,-3.50,292.38,0.8301,0.0046,0.0487,0.5554,-0.69,0.56,9.65,-0.31,-2.94,-1.50,9.69,0,1.70,0.0172,0.0093
-4.12,-3.44,292.50,0.8307,0.0047,0.0470,0.5546,-0.53,0.63,9.66,-2.19,-3.56,0.31,9.70,0,1.70,0.0167,0.0089
-3.94,-3.31,292.50,0.8307,0.0049,0.0450,0.5549,-0.74,0.70,9.60,-1.25,-0.88,0.75,9.65,0,1.70,0.0160,0.0083
-3.94,-3.25,292.56,0.8311,0.0046,0.0448,0.5543,-0.58,0.72,9.43,-1.38,1.88,-0.88,9.48,0,1.70,0.0159,0.0084
-4.06,-3.31,292.50,0.8306,0.0045,0.0461,0.5549,-0.81,0.80,9.78,0.88,2.19,1.12,9.85,0,1.70,0.0163,0.0087
-4.12,-3.25,292.44,0.8304,0.0037,0.0461,0.5553,-1.02,0.32,9.62,-1.31,-0.69,3.44,9.68,0,1.70,0.0162,0.0090
-4.12,-3.19,292.50,0.8306,0.0029,0.0457,0.5550,-0.72,0.48,9.79,-3.50,0.62,-2.31,9.83,0,1.70,0.0158,0.0092
-4.12,-3.06,292.50,0.8307,0.0025,0.0452,0.5549,-0.48,0.65,9.55,-0.69,0.69,-1.81,9.58,0,1.70,0.0156,0.0092
-4.12,-2.94,292.50,0.8309,0.0013,0.0447,0.5546,-0.36,0.81,9.61,-2.88,2.81,-0.75,9.65,0,1.70,0.0152,0.0095
-4.19,-2.94,292.50,0.8309,0.0009,0.0450,0.5547,-0.79,0.75,9.66,0.69,-0.50,-0.31,9.72,0,1.70,0.0152,0.0097
-4.12,-2.88,292.50,0.8309,0.0012,0.0443,0.5547,-0.62,0.51,9.71,-0.56,-1.12,-1.88,9.74,0,1.70,0.0150,0.0094
-4.00,-2.88,292.56,0.8311,0.0016,0.0434,0.5544,-0.63,0.63,9.62,-1.19,-1.38,-0.12,9.66,0,1.70,0.0148,0.0091
-4.00,-2.81,292.56,0.8312,0.0013,0.0430,0.5543,-0.70,0.55,9.69,-1.50,0.38,-0.94,9.73,0,1.70,0.0146,0.0091
-3.94,-2.75,292.62,0.8316,0.0010,0.0425,0.5538,-0.28,0.57,9.50,0.00,-0.81,1.88,9.52,0,1.70,0.0144,0.0091
-4.06,-2.75,292.62,0.8314,0.0003,0.0433,0.5541,-0.61,0.30,9.58,-0.75,3.12,1.75,9.60,0,1.70,0.0145,0.0095
-4.38,-2.94,292.56,0.8309,0.0003,0.0463,0.5544,-0.66,0.60,9.75,4.81,2.38,2.31,9.79,0,1.70,0.0155,0.0102
-4.44,-3.06,292.50,0.8307,0.0007,0.0477,0.5547,-0.63,0.26,9.72,2.56,1.81,2.44,9.74,0,1.70,0.0160,0.0103
-4.62,-2.94,292.44,0.8303,-0.0013,0.0485,0.5551,-0.70,0.58,9.55,-2.50,3.12,0.69,9.59,0,1.70,0.0158,0.0112
-4.75,-3.00,292.38,0.8301,-0.0015,0.0494,0.5555,-0.82,0.53,9.68,1.50,-0.12,0.44,9.73,0,1.70,0.0161,0.0115
-4.81,-3.00,292.38,0.8301,-0.0015,0.0499,0.5554,-0.99,0.64,9.68,1.56,0.94,-0.12,9.75,0,1.70,0.0162,0.0116
-4.81,-3.00,292.38,0.8302,-0.0015,0.0495,0.5552,-0.71,0.62,9.66,-1.75,-1.19,-1.50,9.71,0,1.70,0.0161,0.0115
-4.75,-2.94,292.50,0.8306,-0.0016,0.0493,0.5546,-0.77,0.58,9.63,1.19,-1.44,-0.56,9.68,0,1.70,0.0160,0.0115
-4.69,-3.00,292.44,0.8304,-0.0009,0.0488,0.5551,-0.79,0.68,9.60,-0.56,1.06,-0.31,9.66,0,1.70,0.0160,0.0111
-4.69,-3.06,292.44,0.8304,-0.0002,0.0492,0.5550,-0.97,0.54,9.64,2.25,-1.31,0.88,9.70,0,1.70,0.0163,0.0110
-4.69,-3.06,292.44,0.8304,-0.0004,0.0490,0.5549,-0.78,0.65,9.63,0.94,1.38,-1.00,9.68,0,1.70,0.0162,0.0110
-4.75,-3.00,292.44,0.8302,-0.0011,0.0493,0.5553,-0.69,1.15,9.62,-2.25,0.31,2.19,9.71,0,1.70,0.0161,0.0113
-4.94,-2.62,292.31,0.8299,-0.0050,0.0494,0.5557,-0.81,0.27,9.67,2.75,7.38,-4.06,9.71,0,1.70,0.0153,0.0126
-5.12,-3.00,292.38,0.8299,-0.0033,0.0521,0.5555,-1.10,0.38,9.68,1.56,-0.44,-0.81,9.75,0,1.70,0.0166,0.0127
-5.06,-3.06,292.44,0.8302,-0.0023,0.0517,0.5550,-0.87,0.48,9.75,-1.00,-0.94,-1.56,9.80,0,1.70,0.0167,0.0122
-5.00,-3.06,292.44,0.8303,-0.0017,0.0515,0.5551,-1.00,0.50,9.62,0.94,-1.06,0.88,9.68,0,1.70,0.0167,0.0120
-4.94,-3.19,292.44,0.8302,-0.0011,0.0517,0.5551,-0.85,0.66,9.59,2.44,-0.50,0.88,9.65,0,1.70,0.0169,0.0118
-4.94,-3.12,292.44,0.8302,-0.0013,0.0513,0.5551,-0.84,0.40,9.63,0.12,-0.75,-0.19,9.67,0,1.70,0.0168,0.0118
-4.94,-3.19,292.38,0.8301,-0.0006,0.0516,0.5553,-0.78,0.57,9.63,0.75,0.25,-0.38,9.68,0,1.70,0.0170,0.0117
-4.88,-3.19,292.38,0.8301,-0.0003,0.0514,0.5553,-0.84,0.63,9.65,0.75,-0.44,-0.31,9.71,0,1.70,0.0170,0.0115
-4.88,-3.31,292.44,0.8301,0.0004,0.0517,0.5552,-1.12,0.41,9.65,-0.69,-0.19,-1.38,9.72,0,1.70,0.0173,0.0113
-4.75,-3.31,292.44,0.8303,0.0012,0.0511,0.5550,-0.60,0.70,9.66,1.50,-2.38,0.06,9.70,0,1.70,0.0172,0.0110
-4.69,-3.44,292.44,0.8304,0.0018,0.0512,0.5548,-0.99,0.79,9.78,-1.19,1.75,-1.50,9.86,0,1.70,0.0174,0.0108
-4.69,-3.31,292.38,0.8300,0.0013,0.0500,0.5556,-1.07,0.46,9.51,-1.31,-3.31,3.25,9.58,0,1.70,0.0169,0.0107
-4.50,-3.31,292.31,0.8296,0.0023,0.0493,0.5562,-0.84,0.78,9.72,-0.50,-1.50,0.88,9.79,0,1.70,0.0168,0.0102
-4.44,-3.38,292.19,0.8292,0.0030,0.0489,0.5569,-0.73,0.78,9.64,3.88,-0.81,1.25,9.70,0,1.70,0.0169,0.0099
-4.31,-3.56,292.19,0.8291,0.0051,0.0485,0.5570,-0.36,0.97,9.63,0.44,-3.31,0.81,9.69,0,1.70,0.0172,0.0091
-4.25,-3.56,292.19,0.8292,0.0049,0.0484,0.5568,-0.46,0.89,9.55,1.88,1.12,1.62,9.60,0,1.70,0.0172,0.0091
-4.38,-3.62,292.19,0.8289,0.0049,0.0498,0.5571,-1.00,0.85,9.72,-1.31,2.50,-2.06,9.81,0,1.70,0.0176,0.0095
-4.38,-3.56,292.19,0.8292,0.0046,0.0496,0.5567,-0.85,0.79,9.66,-1.19,-0.31,-1.69,9.73,0,1.70,0.0175,0.0095
-4.38,-3.62,292.19,0.8290,0.0049,0.0494,0.5571,-0.38,0.77,9.63,2.69,-0.75,5.25,9.67,0,1.70,0.0175,0.0094
-4.56,-3.56,292.19,0.8291,0.0038,0.0507,0.5568,-1.84,0.42,9.82,-5.88,5.38,-4.50,10.00,0,1.70,0.0177,0.0100
-4.25,-3.31,292.31,0.8297,0.0037,0.0467,0.5563,-0.79,0.41,9.43,-0.81,-9.06,3.25,9.47,0,1.70,0.0163,0.0092
-4.25,-3.31,292.25,0.8295,0.0034,0.0470,0.5566,-0.61,0.82,9.82,0.00,8.75,-3.06,9.87,0,1.70,0.0164,0.0093
-4.75,-3.25,292.38,0.8300,0.0005,0.0507,0.5554,-0.98,0.98,9.53,4.25,4.38,3.06,9.63,0,1.70,0.0169,0.0111
-4.88,-3.25,292.31,0.8298,0.0002,0.0510,0.5557,-1.10,0.35,9.69,1.44,-3.94,-1.44,9.76,0,1.70,0.0170,0.0113
-4.62,-3.38,292.38,0.8301,0.0023,0.0502,0.5554,-0.41,0.59,9.57,2.19,-3.19,0.56,9.60,0,1.70,0.0172,0.0104
-4.56,-3.50,292.44,0.8301,0.0032,0.0505,0.5552,-0.68,0.79,9.61,1.00,0.38,1.69,9.67,0,1.70,0.0175,0.0101
-4.62,-3.50,292.38,0.8298,0.0026,0.0509,0.5557,-0.71,0.41,9.72,-1.19,0.44,1.19,9.75,0,1.70,0.0175,0.0104
-4.75,-3.56,292.38,0.8300,0.0026,0.0519,0.5553,-0.86,0.71,9.56,1.12,1.94,-1.44,9.62,0,1.70,0.0178,0.0107
-4.88,-3.62,292.56,0.8307,0.0023,0.0536,0.5541,-0.77,0.57,9.68,1.31,3.75,-2.19,9.73,0,1.70,0.0183,0.0111
-5.00,-3.75,292.56,0.8306,0.0029,0.0552,0.5541,-1.00,0.64,9.66,1.94,1.31,2.19,9.73,0,1.70,0.0190,0.0113
-5.12,-3.81,292.56,0.8307,0.0030,0.0558,0.5538,-1.17,0.55,9.68,-2.25,-0.62,-3.19,9.77,0,1.70,0.0192,0.0114
-4.94,-3.81,292.62,0.8309,0.0040,0.0546,0.5536,-1.08,0.70,9.58,0.19,-2.00,-1.00,9.67,0,1.70,0.0190,0.0107
-4.75,-3.81,292.62,0.8312,0.0048,0.0530,0.5535,-0.67,0.63,9.57,-0.75,-1.19,-1.75,9.61,0,1.70,0.0187,0.0102
-4.62,-3.81,292.62,0.8311,0.0052,0.0526,0.5536,-0.82,0.86,9.66,-0.25,-0.12,-0.44,9.73,0,1.70,0.0186,0.0099
-4.88,-3.94,293.00,0.8328,0.0053,0.0548,0.5508,-1.46,0.73,9.31,3.38,3.31,-5.62,9.45,0,1.70,0.0194,0.0103
-4.94,-4.00,293.00,0.8328,0.0052,0.0554,0.5508,-1.01,0.83,9.63,-0.88,0.75,0.00,9.72,0,1.70,0.0196,0.0104
-4.94,-4.00,293.00,0.8327,0.0054,0.0556,0.5508,-0.50,0.84,9.49,1.88,-1.25,2.88,9.54,0,1.70,0.0197,0.0104
-5.00,-4.00,292.88,0.8320,0.0052,0.0560,0.5519,-0.62,0.84,9.57,-0.25,1.00,4.06,9.63,0,1.70,0.0198,0.0106
-5.25,-4.19,292.94,0.8325,0.0056,0.0591,0.5509,-1.08,0.36,9.78,7.38,2.56,-1.31,9.85,0,1.70,0.0209,0.0111
-5.31,-4.44,292.88,0.8319,0.0066,0.0606,0.5516,-0.87,1.21,9.62,5.69,2.62,2.69,9.73,0,1.70,0.0216,0.0112
-5.44,-4.56,292.88,0.8318,0.0070,0.0622,0.5515,-1.05,0.98,9.51,2.69,-0.81,-1.38,9.62,0,1.70,0.0222,0.0114
-5.38,-4.62,292.94,0.8322,0.0076,0.0615,0.5509,-1.22,0.84,9.71,0.06,-4.75,0.25,9.82,0,1.70,0.0221,0.0110
-5.19,-4.62,293.06,0.8327,0.0085,0.0601,0.5504,-0.60,0.73,9.57,1.44,-0.94,-1.88,9.62,0,1.70,0.0219,0.0104
-5.19,-4.69,293.00,0.8325,0.0091,0.0602,0.5506,-0.83,0.82,9.53,0.06,-0.75,0.50,9.60,0,1.70,0.0221,0.0102
-5.19,-4.62,292.94,0.8322,0.0087,0.0601,0.5511,-0.91,0.94,9.66,-2.50,0.31,1.44,9.75,0,1.70,0.0219,0.0104
-5.25,-4.69,292.88,0.8318,0.0090,0.0610,0.5516,-0.84,1.03,9.51,2.06,2.88,0.31,9.60,0,1.70,0.0223,0.0105
-5.31,-4.69,292.88,0.8318,0.0087,0.0616,0.5516,-0.75,0.86,9.57,1.19,-0.25,0.56,9.64,0,1.70,0.0224,0.0107
-5.38,-4.75,292.81,0.8314,0.0085,0.0630,0.5521,-0.87,0.73,9.62,2.06,4.62,2.81,9.69,0,1.70,0.0229,0.0111
-5.56,-4.81,292.75,0.8311,0.0081,0.0643,0.5524,-0.99,0.81,9.65,0.25,-0.31,1.94,9.73,0,1.70,0.0232,0.0115
-5.62,-4.88,292.75,0.8312,0.0085,0.0648,0.5521,-1.02,0.88,9.62,-0.19,-0.31,-1.06,9.71,0,1.70,0.0234,0.0115
-5.56,-4.88,292.81,0.8313,0.0087,0.0641,0.5520,-0.69,1.01,9.50,-1.31,-0.19,-0.06,9.58,0,1.70,0.0233,0.0113
-5.50,-4.94,292.81,0.8315,0.0092,0.0642,0.5518,-0.84,0.94,9.58,-0.19,0.25,-2.38,9.66,0,1.70,0.0234,0.0111
-5.56,-4.88,292.88,0.8318,0.0086,0.0644,0.5513,-1.06,0.87,9.70,-0.56,2.25,-1.25,9.80,0,1.70,0.0233,0.0113
-5.56,-4.94,292.94,0.8320,0.0096,0.0646,0.5510,-1.02,0.91,9.58,5.00,-3.12,0.94,9.68,0,1.70,0.0236,0.0110
-5.50,-4.94,293.00,0.8324,0.0096,0.0642,0.5504,-1.09,0.78,9.62,-2.88,-0.25,-1.69,9.71,0,1.70,0.0235,0.0109
-5.44,-4.94,293.00,0.8322,0.0099,0.0639,0.5507,-0.87,1.33,9.63,3.12,-1.19,1.88,9.76,0,1.70,0.0235,0.0108
-5.44,-4.88,292.94,0.8320,0.0092,0.0636,0.5510,-0.49,0.85,9.50,1.19,1.50,1.19,9.55,0,1.70,0.0232,0.0110
-5.62,-4.94,293.19,0.8330,0.0089,0.0652,0.5494,-1.68,1.61,9.44,2.88,-1.75,-4.44,9.72,0,1.70,0.0237,0.0114
-5.38,-5.00,293.19,0.8335,0.0106,0.0632,0.5488,-0.60,1.01,9.41,0.75,-1.25,-3.19,9.48,0,1.70,0.0234,0.0103
-5.38,-5.00,293.44,0.8343,0.0109,0.0634,0.5475,-0.79,0.88,9.62,1.62,-0.75,1.06,9.69,0,1.70,0.0235,0.0102
-5.44,-5.00,293.38,0.8341,0.0102,0.0637,0.5479,-1.11,1.02,9.65,0.56,1.31,-0.06,9.77,0,1.70,0.0235,0.0106
-5.50,-4.88,293.44,0.8346,0.0089,0.0641,0.5471,-1.22,0.98,9.69,-2.12,4.31,-4.00,9.82,0,1.70,0.0233,0.0110
-5.69,-4.69,293.56,0.8350,0.0071,0.0640,0.5466,-1.09,0.57,9.48,0.56,-1.31,4.06,9.56,0,1.70,0.0229,0.0116
-5.69,-4.75,293.44,0.8345,0.0074,0.0645,0.5472,-1.02,0.87,9.63,2.19,0.44,1.25,9.72,0,1.70,0.0232,0.0117
-5.62,-4.81,293.31,0.8338,0.0082,0.0646,0.5482,-0.91,1.01,9.51,0.31,2.00,0.00,9.61,0,1.70,0.0234,0.0114
-5.69,-5.00,293.25,0.8333,0.0093,0.0659,0.5488,-0.97,0.95,9.57,2.88,1.12,1.19,9.67,0,1.70,0.0240,0.0114
-5.75,-4.94,293.25,0.8333,0.0085,0.0659,0.5489,-0.93,0.97,9.71,-2.50,-0.75,1.62,9.80,0,1.70,0.0238,0.0116
-5.81,-5.00,293.19,0.8330,0.0085,0.0667,0.5491,-1.11,0.98,9.52,0.81,1.69,-0.62,9.63,0,1.70,0.0241,0.0118
-5.81,-5.00,293.19,0.8329,0.0085,0.0669,0.5493,-0.81,0.94,9.54,1.56,0.81,1.19,9.62,0,1.70,0.0242,0.0119
-5.94,-5.12,293.12,0.8325,0.0085,0.0680,0.5497,-1.15,0.86,9.56,1.44,3.12,0.12,9.67,0,1.70,0.0245,0.0121
-6.00,-5.25,293.00,0.8318,0.0092,0.0694,0.5505,-1.08,0.93,9.68,1.69,1.88,1.06,9.78,0,1.70,0.0251,0.0122
-6.12,-5.31,292.94,0.8317,0.0092,0.0709,0.5507,-1.20,0.90,9.60,2.69,0.62,0.75,9.72,0,1.70,0.0256,0.0126
-6.12,-5.31,292.94,0.8315,0.0091,0.0706,0.5508,-1.12,1.05,9.61,0.00,-0.25,0.44,9.73,0,1.70,0.0255,0.0125
-6.06,-5.31,293.00,0.8320,0.0095,0.0702,0.5502,-0.97,1.13,9.56,2.50,-1.44,-0.75,9.68,0,1.70,0.0255,0.0123
-6.06,-5.25,293.06,0.8324,0.0092,0.0695,0.5497,-1.34,0.68,9.73,-0.62,-0.06,-2.38,9.85,0,1.70,0.0252,0.0122
-5.94,-5.31,293.19,0.8328,0.0101,0.0689,0.5491,-1.08,1.06,9.55,0.56,-1.31,-2.56,9.67,0,1.70,0.0252,0.0118
-5.81,-5.25,293.25,0.8334,0.0099,0.0679,0.5483,-1.04,0.87,9.45,-0.81,-0.62,-1.00,9.55,0,1.70,0.0248,0.0116
-5.75,-5.25,293.31,0.8337,0.0106,0.0676,0.5479,-0.96,0.87,9.58,0.38,0.31,-1.94,9.67,0,1.70,0.0249,0.0113
-5.75,-5.19,293.31,0.8336,0.0104,0.0672,0.5483,-0.84,1.02,9.64,2.25,-2.00,6.25,9.73,0,1.70,0.0247,0.0113
-5.75,-5.25,293.19,0.8329,0.0107,0.0670,0.5493,-0.90,0.75,9.69,-2.56,-0.88,3.75,9.76,0,1.70,0.0247,0.0112
-5.81,-5.12,293.25,0.8333,0.0093,0.0675,0.5486,-1.19,0.57,9.56,1.38,-0.50,3.44,9.65,0,1.70,0.0245,0.0117
-5.88,-5.25,293.19,0.8329,0.0101,0.0682,0.5491,-1.19,0.78,9.75,0.06,1.06,-1.56,9.85,0,1.70,0.0249,0.0116
-5.81,-5.25,293.19,0.8329,0.0103,0.0678,0.5491,-1.05,1.05,9.54,1.62,0.00,-0.31,9.65,0,1.70,0.0248,0.0115
-5.75,-5.19,293.12,0.8328,0.0098,0.0671,0.5495,-0.92,1.02,9.72,-0.50,-1.69,3.19,9.82,0,1.70,0.0245,0.0115
-5.75,-4.94,293.12,0.8329,0.0083,0.0657,0.5494,-0.96,1.07,9.57,-4.00,-0.06,-3.31,9.68,0,1.70,0.0237,0.0117
-5.69,-4.81,293.25,0.8336,0.0076,0.0649,0.5486,-0.69,1.02,9.54,1.12,-0.94,1.50,9.62,0,1.70,0.0233,0.0117
-5.75,-4.88,293.25,0.8334,0.0079,0.0655,0.5486,-0.95,1.09,9.57,0.06,0.69,0.38,9.68,0,1.70,0.0236,0.0117
-5.69,-5.00,293.19,0.8330,0.0092,0.0659,0.5493,-0.83,0.82,9.67,2.50,-1.69,1.88,9.74,0,1.70,0.0240,0.0114
-5.69,-5.12,293.19,0.8330,0.0101,0.0660,0.5492,-0.74,0.87,9.58,-0.56,-1.38,2.88,9.65,0,1.70,0.0242,0.0111
-5.75,-5.12,293.19,0.8331,0.0096,0.0666,0.5490,-1.01,0.81,9.57,1.50,0.81,0.94,9.66,0,1.70,0.0243,0.0114
-5.75,-5.12,293.12,0.8328,0.0098,0.0670,0.5494,-1.00,1.10,9.61,0.19,1.06,-1.19,9.72,0,1.70,0.0245,0.0115
-5.75,-5.31,293.12,0.8327,0.0109,0.0675,0.5495,-0.86,0.96,9.57,3.19,-0.06,-0.19,9.66,0,1.70,0.0249,0.0112
-5.75,-5.38,293.12,0.8326,0.0115,0.0681,0.5495,-1.16,0.92,9.67,-0.69,1.19,-0.81,9.78,0,1.70,0.0252,0.0111
-5.75,-5.44,293.19,0.8328,0.0119,0.0685,0.5491,-1.07,0.99,9.58,3.06,0.12,-0.88,9.69,0,1.70,0.0254,0.0111
-5.81,-5.75,293.31,0.8336,0.0139,0.0701,0.5478,-0.98,1.27,9.57,2.81,-0.69,0.50,9.70,0,1.70,0.0264,0.0107
-5.81,-5.81,293.31,0.8334,0.0143,0.0706,0.5479,-0.71,1.04,9.52,0.62,1.25,-1.88,9.60,0,1.70,0.0267,0.0107
-5.94,-6.00,293.38,0.8336,0.0152,0.0725,0.5473,-0.87,0.95,9.62,4.94,3.56,-1.06,9.71,0,1.70,0.0275,0.0108
-6.12,-6.25,293.38,0.8331,0.0167,0.0756,0.5477,-1.28,1.49,9.47,9.19,4.69,2.50,9.67,0,1.70,0.0289,0.0110
-6.31,-6.56,293.38,0.8332,0.0169,0.0776,0.5472,-1.08,1.33,9.57,-2.94,0.31,-2.50,9.72,0,1.70,0.0296,0.0114
-6.31,-6.56,293.31,0.8329,0.0175,0.0775,0.5476,-0.87,1.10,9.55,1.62,-2.19,3.00,9.65,0,1.70,0.0297,0.0111
-6.31,-6.50,293.38,0.8331,0.0170,0.0776,0.5473,-1.14,1.21,9.52,-1.06,-0.12,-0.81,9.66,0,1.70,0.0296,0.0113
-6.25,-6.44,293.50,0.8338,0.0170,0.0768,0.5464,-1.05,0.90,9.58,-0.81,-1.38,-1.88,9.68,0,1.70,0.0293,0.0111
-6.31,-6.38,293.56,0.8342,0.0164,0.0766,0.5460,-0.67,1.12,9.49,1.88,-2.19,4.38,9.58,0,1.70,0.0291,0.0113
-6.31,-6.50,293.50,0.8338,0.0168,0.0774,0.5463,-1.20,1.27,9.61,2.12,0.44,1.25,9.77,0,1.70,0.0295,0.0113
-6.62,-6.38,293.62,0.8344,0.0145,0.0790,0.5453,-1.03,0.90,9.58,-3.81,3.50,-1.94,9.68,0,1.70,0.0295,0.0124
-6.56,-6.31,293.56,0.8341,0.0143,0.0784,0.5458,-1.12,1.05,9.45,-0.94,-1.56,1.31,9.57,0,1.70,0.0293,0.0123
-6.44,-6.44,293.50,0.8337,0.0157,0.0780,0.5463,-1.11,1.22,9.58,2.88,-0.88,0.62,9.72,0,1.70,0.0294,0.0118
-6.38,-6.44,293.50,0.8339,0.0163,0.0774,0.5463,-1.02,1.22,9.57,-0.56,-2.25,1.25,9.70,0,1.70,0.0294,0.0115
-6.31,-6.50,293.50,0.8340,0.0170,0.0773,0.5461,-1.37,1.08,9.57,1.50,0.12,-1.56,9.73,0,1.70,0.0295,0.0112
-6.25,-6.56,293.56,0.8341,0.0179,0.0773,0.5459,-1.13,1.21,9.51,-0.75,0.44,-3.75,9.65,0,1.70,0.0297,0.0109
-6.12,-6.56,293.62,0.8344,0.0187,0.0764,0.5455,-0.72,1.36,9.52,1.62,-0.81,-1.81,9.64,0,1.70,0.0296,0.0104
-6.06,-6.75,293.62,0.8345,0.0200,0.0768,0.5452,-0.81,1.31,9.53,0.50,-1.25,1.38,9.65,0,1.70,0.0300,0.0101
-6.12,-6.69,293.69,0.8347,0.0193,0.0770,0.5449,-1.03,1.25,9.55,-1.19,-2.06,1.44,9.69,0,1.70,0.0299,0.0103
-6.12,-6.69,293.69,0.8348,0.0197,0.0767,0.5449,-0.96,1.21,9.49,0.50,-0.88,1.56,9.61,0,1.70,0.0299,0.0101
-6.06,-6.69,293.62,0.8345,0.0195,0.0764,0.5453,-1.17,1.29,9.52,0.56,0.44,-0.38,9.68,0,1.70,0.0298,0.0102
-6.06,-6.62,293.69,0.8346,0.0193,0.0765,0.5452,-0.92,1.10,9.56,-1.38,0.31,0.62,9.67,0,1.70,0.0298,0.0102
-6.12,-6.69,293.69,0.8346,0.0195,0.0768,0.5452,-1.25,1.40,9.60,1.88,-0.44,-0.12,9.78,0,1.70,0.0299,0.0102
-6.06,-6.69,293.62,0.8345,0.0193,0.0765,0.5453,-0.95,1.32,9.55,0.00,-0.31,-0.12,9.69,0,1.70,0.0298,0.0102
-6.31,-6.44,293.56,0.8342,0.0161,0.0767,0.5460,-1.02,1.00,9.48,-5.94,1.44,4.00,9.59,0,1.70,0.0291,0.0114
-6.25,-6.31,293.44,0.8335,0.0163,0.0760,0.5470,-0.77,1.52,9.67,2.12,-5.75,6.31,9.82,0,1.70,0.0289,0.0112
-6.19,-6.19,293.25,0.8326,0.0154,0.0753,0.5485,-1.35,0.75,9.50,-2.69,0.06,3.81,9.62,0,1.70,0.0285,0.0114
-6.12,-6.25,292.88,0.8307,0.0158,0.0745,0.5515,-1.21,1.40,9.28,-0.94,-1.56,7.75,9.46,0,1.70,0.0282,0.0112
-5.88,-6.12,292.25,0.8278,0.0158,0.0721,0.5562,-1.41,0.98,9.57,0.25,-3.31,11.81,9.72,0,1.70,0.0274,0.0108
-5.69,-6.06,291.44,0.8243,0.0155,0.0712,0.5614,-0.69,1.15,9.50,-5.19,-0.12,15.31,9.59,0,1.70,0.0269,0.0109
-5.62,-6.00,290.50,0.8190,0.0149,0.0701,0.5693,-1.25,1.52,9.94,-3.12,-0.50,17.06,10.13,0,1.70,0.0263,0.0111
-5.31,-5.69,289.25,0.8128,0.0130,0.0660,0.5786,-1.00,1.13,9.47,-12.06,-2.25,16.19,9.59,0,1.70,0.0245,0.0111
-4.88,-4.75,287.81,0.8068,0.0085,0.0594,0.5878,-1.02,0.43,9.67,-17.19,-6.81,24.75,9.73,0,1.70,0.0212,0.0112
-4.12,-4.38,286.19,0.7987,0.0090,0.0523,0.5994,-1.92,0.39,9.68,-6.50,-11.06,23.00,9.88,0,1.70,0.0189,0.0097
-3.19,-4.12,284.81,0.7899,0.0124,0.0429,0.6117,0.57,1.36,9.06,-2.38,-19.31,37.56,9.18,0,1.70,0.0166,0.0066
-2.50,-4.25,282.56,0.7798,0.0153,0.0405,0.6246,-0.11,0.92,9.60,3.12,-0.56,36.88,9.64,0,1.70,0.0164,0.0054
-2.25,-4.62,279.94,0.7650,0.0181,0.0414,0.6425,-0.72,0.23,9.57,9.56,10.88,31.88,9.60,0,1.70,0.0173,0.0051
-2.44,-5.31,277.62,0.7495,0.0214,0.0469,0.6600,-1.02,1.02,9.81,5.75,0.75,40.56,9.92,0,1.70,0.0197,0.0060
