[17:18:37.8811] Roll: 6.50 | Pitch: -4.89 | Yaw: -43.36
[17:18:37.9073] Roll: 4.32 | Pitch: -3.83 | Yaw: -43.36
[17:18:37.9343] Roll: 2.25 | Pitch: -2.83 | Yaw: -43.36
[17:18:37.9612] Roll: 0.34 | Pitch: -1.91 | Yaw: -43.36
[17:18:37.9856] Roll: 4.15 | Pitch: -8.00 | Yaw: -48.38
[17:18:38.0122] Roll: 2.16 | Pitch: -6.87 | Yaw: -48.38
[17:18:38.0393] Roll: 0.24 | Pitch: -5.81 | Yaw: -48.38
[17:18:38.0653] Roll: -1.47 | Pitch: -4.83 | Yaw: -48.38
[17:18:38.0922] Roll: -3.11 | Pitch: -3.91 | Yaw: -48.38
[17:18:38.1185] Roll: -4.64 | Pitch: -3.04 | Yaw: -48.38
[17:18:38.1453] Roll: -6.06 | Pitch: -2.23 | Yaw: -48.38
[17:18:38.1724] Roll: -7.37 | Pitch: -1.48 | Yaw: -48.38
[17:18:38.1993] Roll: -13.41 | Pitch: -9.95 | Yaw: -48.69
[17:18:38.2247] Roll: -19.02 | Pitch: -17.95 | Yaw: -48.99
[17:18:38.2503] Roll: -13.63 | Pitch: -10.44 | Yaw: -54.21
[17:18:38.2764] Roll: -8.58 | Pitch: -18.26 | Yaw: -59.44
[17:18:38.3023] Roll: -3.87 | Pitch: -10.90 | Yaw: -64.66
[17:18:38.3274] Roll: 0.38 | Pitch: -15.77 | Yaw: -69.68
[17:18:38.3523] Roll: 4.35 | Pitch: -20.39 | Yaw: -74.70
[17:18:38.3772] Roll: 8.06 | Pitch: -24.76 | Yaw: -79.72
[17:18:38.4032] Roll: 5.96 | Pitch: -23.17 | Yaw: -79.72
[17:18:38.4303] Roll: 3.91 | Pitch: -21.64 | Yaw: -79.72
[17:18:38.4572] Roll: 2.00 | Pitch: -20.19 | Yaw: -79.72
[17:18:38.4842] Roll: 0.20 | Pitch: -18.80 | Yaw: -79.72
[17:18:38.5117] Roll: -1.49 | Pitch: -17.48 | Yaw: -79.72
[17:18:38.5382] Roll: -3.07 | Pitch: -16.21 | Yaw: -79.72
[17:18:38.5653] Roll: -4.54 | Pitch: -15.01 | Yaw: -79.72
[17:18:38.5925] Roll: -5.92 | Pitch: -13.86 | Yaw: -79.72
[17:18:38.6192] Roll: -7.21 | Pitch: -12.76 | Yaw: -79.72
[17:18:38.6462] Roll: -8.40 | Pitch: -11.72 | Yaw: -79.72
[17:18:38.6733] Roll: -9.51 | Pitch: -10.73 | Yaw: -79.72
[17:18:38.7002] Roll: -10.54 | Pitch: -9.78 | Yaw: -79.72
[17:18:38.7273] Roll: -11.50 | Pitch: -8.88 | Yaw: -79.72
[17:18:38.7542] Roll: -12.38 | Pitch: -8.03 | Yaw: -79.72
[17:18:38.7804] Roll: -13.19 | Pitch: -7.21 | Yaw: -79.72
[17:18:38.8073] Roll: -13.93 | Pitch: -6.44 | Yaw: -79.72
[17:18:38.8342] Roll: -14.61 | Pitch: -5.70 | Yaw: -79.72
[17:18:38.8613] Roll: -15.23 | Pitch: -5.00 | Yaw: -79.72
[17:18:38.8891] Roll: -15.80 | Pitch: -4.34 | Yaw: -79.72
[17:18:38.9162] Roll: -16.30 | Pitch: -3.72 | Yaw: -79.72
[17:18:38.9425] Roll: -16.76 | Pitch: -3.12 | Yaw: -79.72
[17:18:38.9695] Roll: -17.17 | Pitch: -2.56 | Yaw: -79.72
[17:18:38.9964] Roll: -17.53 | Pitch: -2.03 | Yaw: -79.72
[17:18:39.0234] Roll: -17.84 | Pitch: -1.52 | Yaw: -79.72
[17:18:39.0504] Roll: -18.11 | Pitch: -1.05 | Yaw: -79.72
[17:18:39.0775] Roll: -18.35 | Pitch: -0.60 | Yaw: -79.72
[17:18:39.1044] Roll: -18.54 | Pitch: -0.18 | Yaw: -79.72
[17:18:39.1315] Roll: -18.70 | Pitch: 0.21 | Yaw: -79.72
[17:18:39.1582] Roll: -18.82 | Pitch: 0.59 | Yaw: -79.72
[17:18:39.1853] Roll: -18.91 | Pitch: 0.93 | Yaw: -79.72
[17:18:39.2124] Roll: -18.97 | Pitch: 1.26 | Yaw: -79.72
[17:18:39.2392] Roll: -19.01 | Pitch: 1.57 | Yaw: -79.72
[17:18:39.2662] Roll: -19.01 | Pitch: 1.85 | Yaw: -79.72
[17:18:39.2931] Roll: -18.99 | Pitch: 2.12 | Yaw: -79.72
[17:18:39.3192] Roll: -18.95 | Pitch: 2.36 | Yaw: -79.72
[17:18:39.3463] Roll: -18.88 | Pitch: 2.59 | Yaw: -79.72
[17:18:39.3734] Roll: -18.79 | Pitch: 2.81 | Yaw: -79.72
[17:18:39.4004] Roll: -18.68 | Pitch: 3.00 | Yaw: -79.72
[17:18:39.4274] Roll: -18.55 | Pitch: 3.18 | Yaw: -79.72
[17:18:39.4543] Roll: -18.41 | Pitch: 3.35 | Yaw: -79.72
[17:18:39.4807] Roll: -23.16 | Pitch: -4.36 | Yaw: -80.03
[17:18:39.5064] Roll: -27.60 | Pitch: -11.76 | Yaw: -80.33
[17:18:39.5323] Roll: -21.04 | Pitch: -5.74 | Yaw: -85.56
[17:18:39.5575] Roll: -15.03 | Pitch: -10.56 | Yaw: -90.58
[17:18:39.5834] Roll: -9.17 | Pitch: -4.62 | Yaw: -95.80
[17:18:39.6084] Roll: -3.83 | Pitch: -9.46 | Yaw: -100.82
[17:18:39.6336] Roll: -9.10 | Pitch: -16.57 | Yaw: -101.11
[17:18:39.6594] Roll: -14.28 | Pitch: -23.40 | Yaw: -101.42
[17:18:39.6853] Roll: -19.13 | Pitch: -29.97 | Yaw: -101.72
[17:18:39.7114] Roll: -23.68 | Pitch: -36.29 | Yaw: -102.03
[17:18:39.7372] Roll: -27.94 | Pitch: -42.36 | Yaw: -102.33
[17:18:39.7632] Roll: -21.20 | Pitch: -45.73 | Yaw: -107.56
[17:18:39.7891] Roll: -14.81 | Pitch: -38.53 | Yaw: -112.78
[17:18:39.8151] Roll: -19.51 | Pitch: -44.47 | Yaw: -113.08
[17:18:39.8412] Roll: -13.18 | Pitch: -47.72 | Yaw: -118.31
[17:18:39.8672] Roll: -17.93 | Pitch: -53.28 | Yaw: -118.61
[17:18:39.8932] Roll: -22.37 | Pitch: -58.63 | Yaw: -118.92
[17:18:39.9191] Roll: -15.81 | Pitch: -61.31 | Yaw: -124.14
[17:18:39.9451] Roll: -20.34 | Pitch: -66.32 | Yaw: -124.44
[17:18:39.9712] Roll: -24.57 | Pitch: -71.12 | Yaw: -124.75
[17:18:39.9961] Roll: -17.81 | Pitch: -73.27 | Yaw: -129.97
[17:18:40.0221] Roll: -11.41 | Pitch: -64.93 | Yaw: -135.19
[17:18:40.0491] Roll: -16.09 | Pitch: -69.72 | Yaw: -135.50
[17:18:40.0752] Roll: -20.49 | Pitch: -74.30 | Yaw: -135.80
[17:18:40.1003] Roll: -24.60 | Pitch: -78.70 | Yaw: -136.11
[17:18:40.1271] Roll: -17.72 | Pitch: -70.08 | Yaw: -141.33
[17:18:40.1521] Roll: -11.21 | Pitch: -61.75 | Yaw: -146.55
[17:18:40.1781] Roll: -5.06 | Pitch: -66.53 | Yaw: -151.78
[17:18:40.2041] Roll: -9.99 | Pitch: -71.13 | Yaw: -152.08
[17:18:40.2301] Roll: -3.89 | Pitch: -62.71 | Yaw: -157.30
[17:18:40.2572] Roll: -3.93 | Pitch: -59.80 | Yaw: -157.30
[17:18:40.2842] Roll: -3.96 | Pitch: -56.97 | Yaw: -157.30
[17:18:40.3113] Roll: -3.98 | Pitch: -54.22 | Yaw: -157.30
[17:18:40.3384] Roll: -3.99 | Pitch: -51.55 | Yaw: -157.30
[17:18:40.3652] Roll: -3.99 | Pitch: -48.96 | Yaw: -157.30
[17:18:40.3921] Roll: -3.99 | Pitch: -46.45 | Yaw: -157.30
[17:18:40.4192] Roll: -3.99 | Pitch: -44.02 | Yaw: -157.30
[17:18:40.4462] Roll: -3.98 | Pitch: -41.68 | Yaw: -157.30
[17:18:40.4735] Roll: -3.96 | Pitch: -39.40 | Yaw: -157.30
[17:18:40.5003] Roll: -3.94 | Pitch: -37.21 | Yaw: -157.30
[17:18:40.5274] Roll: -3.92 | Pitch: -35.09 | Yaw: -157.30
[17:18:40.5542] Roll: -3.89 | Pitch: -33.05 | Yaw: -157.30
[17:18:40.5812] Roll: -3.85 | Pitch: -31.08 | Yaw: -157.30
[17:18:40.6072] Roll: -8.76 | Pitch: -36.94 | Yaw: -157.61
[17:18:40.6333] Roll: -13.36 | Pitch: -42.57 | Yaw: -157.91
[17:18:40.6585] Roll: -6.97 | Pitch: -45.51 | Yaw: -163.14
[17:18:40.6844] Roll: -11.46 | Pitch: -50.78 | Yaw: -163.43
